config,question,chunking,retrieval,llm,embedding,answer,generation_time,top_retrieval_scores,avg_retrieval_score,retrieved_chunks,context_overlap,answer_relevance,precision_at_k,recall,mrr
gemma3+tfidf,How do I find water in the desert?,page,tfidf,gemma3,none,"Right, let’s talk about water in the desert – it’s absolutely critical. You’re going to be looking for a few key things. 

Firstly, the pincushion cactus, *Mammilaria*, can be a lifeline. These barrel-shaped cacti hold a surprising amount of water, but be *extremely* careful – those spines are vicious. Approach with caution, and only consume the pulp if you’re certain of its identification. 

Beyond that, you need to be constantly scanning for any signs of moisture. Look for depressions in the ground, especially after a rainfall, as these can collect rainwater.  And remember, heat plays tricks on your eyes – don't trust what you see. Get to higher ground; that's your best chance of spotting a water source.  Stay vigilant, and conserve your energy.",7.749776363372803,"[0.2890160701707482, 0.19247509829289997, 0.17091055109888145]",0.21746723985417651,"['FM3-05-70_page_454', 'FM3-05-70_page_218', 'FM3-05-70_page_213']",0.5294117647058824,0.0,0.21746723985417651,0.21746723985417651,0.2890160701707482
gemma3+tfidf,How do I find water in the desert?,fixed_size,tfidf,gemma3,none,"Right, let’s talk about water in the desert – it’s absolutely critical. You’re going to be battling the elements, and dehydration will be your biggest enemy. 

First, you need to understand the landscape. Trails – they almost always lead to water. Look for where paths converge, and follow them. Don’t just look for obvious signs like campsites or fires, but also pay attention to animal tracks – they’ll be heading to a water source too. 

And keep an eye on the birds. You'll often see flocks circling over waterholes, especially at dawn and dusk. 

Prioritize finding water above all else. It’s the key to survival out there.",6.297479629516602,"[0.1824746422684207, 0.18231191267656727, 0.1713758227822048]",0.17872079257573092,"['FM21-76_fixed_305', 'FM21-76_fixed_312', 'FM3-05-70_fixed_150']",0.5094339622641509,0.0,0.17872079257573092,0.17872079257573092,0.1824746422684207
gemma3+tfidf,How do I find water in the desert?,sentence,tfidf,gemma3,none,"Right, let’s talk about water in the desert – it’s absolutely critical. The biggest mistake you can make is panicking and wasting energy. 

First, *prioritize shade*. The sun will kill you faster than dehydration. Find or create some cover. 

Next, look for signs of moisture. Follow animal trails – they often lead to water sources. Look for depressions in the ground, especially after rainfall. 

You can also dig – a small, shallow pit might collect subsurface water. 

Finally, and this is key, check the color of your urine. A light color means you’re hydrated, a dark color – you need to drink, *immediately*. 

Don’t rely on finding a stream; it’s rare. Conserve what you have and be smart about it.",7.297865867614746,"[0.22733603690592116, 0.20078346259946706, 0.20021778999377]",0.20944576316638605,"['FM21-76_sent_302', 'FM3-05-70_sent_403', 'FM3-05-70_sent_829']",0.3893805309734513,0.0,0.20944576316638605,0.20944576316638608,0.22733603690592116
gemma3+tfidf,What should I do if I encounter a venomous snake?,page,tfidf,gemma3,none,"Right, let’s get this straight. Encountering a venomous snake is a serious situation, and your immediate reaction is everything. 

Firstly, *stay calm*. Panic will only make things worse. Assess the situation – how far away is it? What kind of snake is it? 

If it's a large snake like a King Cobra, give it space. These snakes are intelligent, and they don’t want to bite. Slowly, deliberately, back away. Don't make any sudden movements. 

If you’re dealing with a sea snake, like the *Pelamis platurus*, understand it’s a highly defensive creature. Keep your distance and move slowly. 

Never attempt to handle or kill a venomous snake unless absolutely necessary for your survival. Prioritize escape and distance. 

Do you understand?",7.327383756637573,"[0.24533648697219507, 0.21403577424728537, 0.1743960358932278]",0.2112560990375694,"['FM3-05-70_page_532', 'FM3-05-70_page_587', 'FM3-05-70_page_623']",0.4375,0.0,0.2112560990375694,0.2112560990375694,0.24533648697219507
gemma3+tfidf,What should I do if I encounter a venomous snake?,fixed_size,tfidf,gemma3,none,"Right, let’s get this sorted. If you spot a venomous snake, your immediate priority is distance. Don’t approach it, don’t try to get a good look – that’s a mistake you can’t afford to make. 

These snakes, like the King Cobra, often have incredibly potent venoms, capable of shutting down your nervous system. Most importantly, remember that many snakes possess both neurotoxic and hemotoxic venom. 

Slowly, deliberately, back away. Maintain eye contact to show you’re aware of its presence, but don’t provoke it. If you’re in a situation where you’re tangled with one, carefully and calmly try to free yourself, avoiding any sudden movements. 

Your life depends on keeping that distance. Understand?",6.84767746925354,"[0.30562994797971665, 0.19870754923677225, 0.16287266418489588]",0.22240338713379493,"['FM3-05-70_fixed_834', 'FM3-05-70_fixed_872', 'FM3-05-70_fixed_890']",0.43636363636363634,0.0,0.22240338713379493,0.22240338713379493,0.30562994797971665
gemma3+tfidf,What should I do if I encounter a venomous snake?,sentence,tfidf,gemma3,none,"Right, let's get this sorted. Encountering a venomous snake is a serious situation, so stay calm. Your immediate priority is distance. Don't approach it, don't try to capture it – just back away slowly, keeping your eyes on the snake. 

Observe its behavior. Many snakes, like the Yellow-bellied Sea Snake, are intelligent and will avoid confrontation. If you can, move to a position where you have an escape route. 

Remember, these snakes are often wary of other venomous creatures. 

If it feels threatened, it *might* strike, but generally, they'll try to avoid you.  Your safety is paramount. Get away, and get away fast.",6.256877422332764,"[0.287493009971984, 0.24609035069167068, 0.19128482947075653]",0.24162273004480372,"['FM3-05-70_sent_902', 'FM3-05-70_sent_942', 'FM3-05-70_sent_961']",0.42574257425742573,0.0,0.24162273004480372,0.24162273004480372,0.287493009971984
gemma3+tfidf,How can I build a shelter in cold weather?,page,tfidf,gemma3,none,"Right, let’s talk about staying alive when the temperature drops. Building a shelter in cold weather isn’t just about finding a spot; it’s about fighting back against the cold itself. 

First, assess your surroundings. What materials are available – branches, leaves, snow? The key is insulation. You need to trap air, and that’s where layering comes in. 

A simple lean-to is a good start. Build a sturdy frame, then pile branches and leaves thickly against it. Snow can be used to insulate the walls – pack it down firmly. 

Don't forget to protect yourself from wind. A small, enclosed space will do far more good than a large, open one. 

Stay warm, stay dry, and keep moving to generate heat. It’s a constant battle, but with the right approach, you can win.",7.476898670196533,"[0.2936043132572203, 0.27688873660995134, 0.19852178657507874]",0.2563382788140835,"['FM21-76_page_146', 'FM3-05-70_page_229', 'FM3-05-70_page_241']",0.5528455284552846,0.0,0.2563382788140835,0.2563382788140835,0.2936043132572203
gemma3+tfidf,How can I build a shelter in cold weather?,fixed_size,tfidf,gemma3,none,"Right, let's talk about building a shelter when the temperature’s dropping. It’s absolutely critical – cold is a killer, and a proper shelter is your first line of defense. 

You need to focus on insulation. Think layers of natural materials – branches, pine needles, moss – stacked tightly to create a barrier against the wind and cold. Build a lean-to against a natural windbreak, like a rock face or a dense cluster of trees. 

Don’t just build a wall; create a space that traps your body heat.  A small, enclosed area is far more effective than a large, open one.  And crucially, keep that space dry – moisture is your enemy.  Stay vigilant, and stay warm.",6.429659128189087,"[0.29584013961502587, 0.29004180650177425, 0.2446776672831345]",0.2768532044666449,"['FM21-76_fixed_343', 'FM3-05-70_fixed_390', 'FM3-05-70_fixed_389']",0.42574257425742573,0.0,0.2768532044666449,0.2768532044666449,0.29584013961502587
gemma3+tfidf,How can I build a shelter in cold weather?,sentence,tfidf,gemma3,none,"Right, let’s talk shelter. When the cold really bites, your shelter needs to be your priority. You’re going to want to focus on wooded areas – they offer the best timber for construction. 

If you're in a barren area, you’re limited to snow, but even that can be used effectively. Build something that blocks the wind and retains body heat. Think lean-tos, debris shelters – anything that creates a barrier. Don’t underestimate the importance of insulation; use anything you can find to create layers.  Stay dry, stay warm, and stay alive.",5.249861717224121,"[0.25082508986904584, 0.22508260267692862, 0.1983323672226689]",0.22474668658954777,"['FM3-05-70_sent_432', 'FM21-76_sent_325', 'FM21-76_sent_345']",0.5054945054945055,0.0,0.22474668658954777,0.22474668658954777,0.25082508986904584
gemma3+tfidf,What are the best methods to purify water for drinking?,page,tfidf,gemma3,none,"Right, let’s get this sorted. Water’s the absolute key to survival, and frankly, it’s rarely going to be pristine. 

If you’re relying on water from a lake, stream, or even a spring, you *must* purify it. Boiling is your best bet – a rolling boil for at least one minute will kill most pathogens. 

But, if you can’t boil, build a filter. Layer sand, crushed rock, charcoal – you can even use cloth – in something like a bamboo stalk or a hollow log. This will remove some impurities, but it’s not a replacement for boiling. 

Charcoal from your fire will help to remove the taste and smell. 

Don’t forget, a good filter will only help, it’s boiling that truly ensures you’re drinking safe water. Keep it moving.",7.417971134185791,"[0.19958463866090365, 0.19786904061246502, 0.1209356137572684]",0.17279643101021236,"['FM3-05-70_page_100', 'FM21-76_page_61', 'FM21-76_page_62']",0.5546218487394958,0.0,0.17279643101021236,0.17279643101021236,0.19958463866090365
gemma3+tfidf,What are the best methods to purify water for drinking?,fixed_size,tfidf,gemma3,none,"Right, let’s get you drinking clean water. When you’re dealing with saltwater, or frankly, any water that looks questionable, you need a layered approach. 

First, you’ll want to build a still – ideally, you’ll need at least three to really get a good yield. The sun’s heat will evaporate the water, and it’ll condense back down into a drinkable form. 

But even after that, you’ll still need to purify it. Layering materials – sand, charcoal, crushed rock, and cloth – in a container like a log or even an old shirt will remove impurities and the unpleasant taste. 

Don’t just rely on the still alone; filtration is absolutely critical. Always purify your water, no matter how clean it looks. Stay vigilant, and stay hydrated.",7.088464975357056,"[0.23186661349094168, 0.22368427727354914, 0.17712591945346745]",0.21089227007265277,"['FM21-76_fixed_143', 'FM3-05-70_fixed_163', 'FM3-05-70_fixed_169']",0.5333333333333333,0.0,0.21089227007265277,0.21089227007265277,0.23186661349094168
gemma3+tfidf,What are the best methods to purify water for drinking?,sentence,tfidf,gemma3,none,"Right, let’s talk about water. It’s absolutely critical – you can’t survive without it. 

Now, when you’re out there, you’ll find water in all sorts of places, but you *must* treat it. Don’t take chances. 

The simplest and most reliable method is boiling. Bring the water to a rolling boil for a full minute – that’s key. 

If you don’t have a way to boil, purification tablets are a fantastic backup. Follow the instructions precisely. You can also use a tincture of iodine – five drops per canteen. 

Ultimately, always purify your water before drinking it. It’s a simple rule, but it’s the difference between life and death out there.",6.612210512161255,"[0.2255039307220361, 0.21708213037595445, 0.1663083282561811]",0.20296479645139054,"['FM3-05-70_sent_173', 'FM21-76_sent_132', 'FM3-05-70_sent_473']",0.5145631067961165,0.0,0.20296479645139054,0.20296479645139054,0.2255039307220361
gemma3+tfidf,How do I start a fire without matches?,page,tfidf,gemma3,none,"Right, let’s get this fire going. Look, the most important thing is positioning. You *always* want to build your fire upwind – that’s where the breeze is coming from. This keeps the flame alive and prevents it from being smothered. 

Now, you need to build your layers. Start with a small, fluffy tinder – think dry grass, birch bark, anything that catches a spark easily. Then, gradually add your kindling – small twigs, increasing in size. Finally, build up to your fuel wood. 

Don’t just throw it all together. A good fire is about layering, feeding it slowly, and keeping it protected from the wind. It’s about patience and understanding how a flame needs to grow. Now, let’s get to work.",6.847946643829346,"[0.20722747586170234, 0.19917828974152296, 0.18442502517074308]",0.19694359692465613,"['FM3-05-70_page_111', 'FM21-76_page_63', 'FM3-05-70_page_104']",0.5,0.0,0.19694359692465613,0.19694359692465613,0.20722747586170234
gemma3+tfidf,How do I start a fire without matches?,fixed_size,tfidf,gemma3,none,"Right, let’s get a fire going, no matter what. Look, a reliable fire is absolutely critical in a survival situation. 

The key is building a solid, self-feeding fire. I’d recommend building a small pyramid of logs, each layer smaller than the one beneath it, angled right across from each other. Start a small starter fire on top, and as it burns, it’ll ignite the lower layers. 

You need to find a way to get that initial heat. Charcoal is your friend – it’ll keep the fire going longer. If you’ve got a modern igniter, fantastic, keep it waterproof. But if not, focus on building that fire properly, and you’ll be alright. Always purify your water – 45 minutes is the minimum.",6.8685622215271,"[0.26596178028110073, 0.18264288434965278, 0.17139884698762511]",0.20666783720612622,"['FM3-05-70_fixed_179', 'FM21-76_fixed_154', 'FM21-76_fixed_146']",0.5652173913043478,0.0,0.20666783720612622,0.20666783720612622,0.26596178028110073
gemma3+tfidf,How do I start a fire without matches?,sentence,tfidf,gemma3,none,"Right, let’s get a fire going, no matter what. If you’re without matches, you need to focus on creating that initial spark. 

First, find dry tinder – things like birch bark, dry grass, or even shredded inner bark. Build a small nest and place it upwind of where you want the fire to burn. 

Now, look for anything that can catch a spark – a plastic spoon, a visor housing, anything that burns readily. Use a knife or sharp rock to create friction – this is how you’ll generate that initial heat. 

It's not easy, but with persistence and a little ingenuity, you can get a fire going. Don’t give up!",6.246779441833496,"[0.2953419012216919, 0.252736322636872, 0.14659160224829698]",0.23155660870228698,"['FM21-76_sent_143', 'FM3-05-70_sent_195', 'FM3-05-70_sent_470']",0.4019607843137255,0.0,0.23155660870228698,0.23155660870228698,0.2953419012216919
gemma3+tfidf,What plants are safe to eat in a survival situation?,page,tfidf,gemma3,none,"Right, let's talk about food – specifically, plants. Look, the biggest thing to understand is there’s no simple answer. You absolutely *must* be cautious. 

Don’t rely on anyone telling you what’s safe. Your best bet is to stick with what you already know – familiar edible plants. If you can find something you recognize, that’s a fantastic start. 

Now, when it comes to anything new, boiling is your first line of defense. It’ll remove many toxins, but it’s not a guarantee. And crucially, avoid anything red. Seriously, steer clear of red plants. 

Knowledge is your strongest tool here. Learn what grows in your area, and always err on the side of caution. Your life depends on it.",6.76122522354126,"[0.2676884100808709, 0.20841533497310064, 0.20834345079535618]",0.22814906528310927,"['FM21-76_page_99', 'FM3-05-70_page_175', 'FM3-05-70_page_157']",0.5964912280701754,0.0,0.22814906528310927,0.22814906528310921,0.2676884100808709
gemma3+tfidf,What plants are safe to eat in a survival situation?,fixed_size,tfidf,gemma3,none,"Right, let’s talk about finding food in a tough spot. The biggest mistake people make is assuming ‘if an animal eats it, it’s safe.’ That’s simply not true. Animals have different digestive systems than us. 

Now, plants *can* be a lifeline, but you need to be incredibly cautious. Don't rely on instinct. 

Generally, stick to familiar plants if you can. If you're unsure, *always* boil the plant in water. Boiling removes many toxins, but it’s not a guaranteed solution. Brightly colored plants – particularly red ones – are best avoided unless you have absolute certainty. 

Focus on what you know, and proceed with extreme caution. Your survival depends on it.",6.462533712387085,"[0.27301118833045274, 0.2579461190326541, 0.24574225352454335]",0.25889985362921675,"['FM21-76_fixed_241', 'FM21-76_fixed_218', 'FM3-05-70_fixed_286']",0.4811320754716981,0.0,0.25889985362921675,0.2588998536292167,0.27301118833045274
gemma3+tfidf,What plants are safe to eat in a survival situation?,sentence,tfidf,gemma3,none,"Right, let’s talk about plants – they’re absolutely critical in a survival situation. The key here is *knowledge*, plain and simple. You can't just start chomping on greenery. 

Many plants are safe, but only *if* you know what you're doing. Certain plants are edible in specific seasons or stages of growth, but deadly at others. Take poison hemlock – it looks remarkably like wild carrot, and that’s a deadly mistake. 

Always be extremely cautious. Identify plants with absolute certainty before consuming them. Focus on readily available resources like berries and roots, but never assume anything is safe without a positive identification. It’s a matter of life or death, so prioritize careful observation and learning.",6.3879234790802,"[0.24222981386736883, 0.23353961520924174, 0.23024128580412118]",0.23533690496024393,"['FM21-76_sent_210', 'FM3-05-70_sent_281', 'FM3-05-70_sent_315']",0.5272727272727272,0.0,0.23533690496024393,0.23533690496024393,0.24222981386736883
gemma3+tfidf,How can I signal for rescue?,page,tfidf,gemma3,none,"Right, let’s get you out of this. The first thing you need to do is make yourself visible. You’ve got to be seen, and you need to be heard. 

Now, the most reliable way to do that is with a satellite signal. If you have a transmitter, key it for a full 30 seconds – that’s crucial. It's a long shot, but it’s a powerful one. 

Alongside that, use a whistle. A consistent, loud blast – 19-35 is the frequency – will carry much further than you think. 

Don't just stand there and wait. Create a visual signal too, a large geometric pattern on the ground. Get creative, make it big, make it obvious. 

Keep signaling, keep moving, and keep your hope up. That’s how you get found.",7.444206953048706,"[0.18500110861657956, 0.16619395759472216, 0.1427078654988996]",0.16463431057006708,"['FM3-05-70_page_258', 'FM3-05-70_page_328', 'FM21-76_page_200']",0.6949152542372882,0.0,0.16463431057006708,0.1646343105700671,0.18500110861657956
gemma3+tfidf,How can I signal for rescue?,fixed_size,tfidf,gemma3,none,"Right, let's get you out of this. The key here is to make yourself *seen*. 

First, if you’re in a situation with seaweed, don’t thrash about – crawl over the top. Now, when a rescue craft appears, you need to maximize your visibility. Bunch up with any other survivors, it’s easier for them to spot you. 

Raise anything reflective – an oar, a piece of metal – as high as you can. And don't forget the radio. Only use it when you know there’s a chance of aircraft overhead. 

Keep your eyes peeled, stay calm, and make yourself a beacon. That's how we get through these situations.",6.203227519989014,"[0.19055226758077448, 0.18598092024444665, 0.1500184623101415]",0.17551721671178755,"['FM21-76_fixed_447', 'FM21-76_fixed_403', 'FM3-05-70_fixed_452']",0.58,0.0,0.17551721671178755,0.17551721671178755,0.19055226758077448
